0	9.59398	9.59398	9.59398	9.59398	9.593989.59398
1	9.36215	9.47806	9.5729	9.59168	9.59374	9.59395
2	10.6699	10.1932	9.74875	9.61272	9.59589	9.59417
3	9.09786	9.51913	9.61432	9.59796	9.5944	9.59402
4	10.1704	9.92137	9.74478	9.61927	9.59669	9.59425
5	9.98278	9.95932	9.80445	9.63566	9.5986	9.59444
6	9.79862	9.86	9.80294	9.64417	9.59978	9.59457
7	10.4873	10.2477	9.98397	9.69356	9.60587	9.59519
8	10.241	10.2436	10.0526	9.72869	9.61083	9.5957
9	10.5305	10.4209	10.181	9.78406	9.61885	9.59654
10	10.379	10.395	10.2343	9.82765	9.62617	9.59732
11	11.1333	10.8513	10.4768	9.928	9.64203	9.599
12	9.65858	10.1142	10.2559	9.90647	9.64222	9.59908
13	9.67076	9.84012	10.0979	9.88702	9.64257	9.59917
14	10.0141	9.94763	10.0753	9.89778	9.64742	9.59975
15	10.2308	10.1226	10.1173	9.92658	9.65551	9.60068
16	9.85762	9.95885	10.0471	9.92051	9.65847	9.60109
17	9.90734	9.92701	10.0094	9.91934	9.66231	9.60161
18	10.1954	10.0929	10.0596	9.94426	9.67091	9.60266
19	9.86075	9.94941	10.0059	9.93665	9.67411	9.60315
20	10.5961	10.3491	10.1653	9.99722	9.69029	9.60511
21	10.0875	10.1874	10.1443	10.0056	9.69752	9.6061
22	9.83843	9.97174	10.0617	9.99004	9.70017	9.6066
23	9.77455	9.84987	9.98411	9.96993	9.70162	9.60698
24	10.585	10.3042	10.1464	10.0275	9.71933	9.60928
25	9.87257	10.0374	10.0725	10.013	9.72249	9.60993
26	10.2783	10.1863	10.1281	10.0379	9.73425	9.61163
27	9.47945	9.74945	9.95284	9.98528	9.72872	9.61128
28	10.852	10.4309	10.1958	10.0671	9.75363	9.61466
29	9.49963	9.85533	10.0077	10.0135	9.74788	9.61434
30	10.3271	10.1469	10.094	10.0432	9.76126	9.61641
31	10.0735	10.1015	10.0884	10.046	9.76861	9.61778
32	9.844	9.94236	10.0224	10.0269	9.77041	9.61848
33	9.97343	9.96157	10.0092	10.0218	9.77535	9.61961
34	9.66226	9.77658	9.91545	9.98768	9.77256	9.61975
35	10.206	10.042	9.99395	10.0084	9.78342	9.62172
36	10.012	10.0235	9.99882	10.0088	9.78923	9.62306
37	10.0578	10.0447	10.0147	10.0134	9.79614	9.6246
38	10.2457	10.1689	10.0771	10.0355	9.80784	9.62685
39	9.85417	9.9744	10.0169	10.0183	9.80906	9.62769
40	9.16473	9.474	9.78669	9.93711	9.79193	9.62593
41	10.1941	9.91902	9.89674	9.96154	9.80273	9.62814
42	9.68844	9.77652	9.84047	9.93558	9.79963	9.62837
43	9.54497	9.63342	9.76064	9.89843	9.79267	9.62804
44	10.5279	10.1863	9.96793	9.9583	9.81293	9.63175
45	10.0576	10.1067	9.99215	9.96774	9.81972	9.63354
46	10.3537	10.2594	10.0898	10.0044	9.83464	9.63663
47	9.81135	9.98247	10.0146	9.98608	9.83399	9.6374
48	10.0701	10.0366	10.0296	9.99407	9.84067	9.63933
49	9.82095	9.90333	9.97322	9.9776	9.84011	9.64015
50	10.3438	10.1756	10.0733	10.0124	9.85454	9.64339
51	10.0825	10.1181	10.0758	10.0191	9.8611	9.64545
52	10.0832	10.0965	10.0778	10.0252	9.86752	9.64754
53	9.65005	9.82059	9.96226	9.98952	9.8612	9.64755
54	9.9897	9.9251	9.96967	9.98954	9.86495	9.64923
55	10.2584	10.1311	10.0477	10.0151	9.87648	9.65227
56	10.245	10.2015	10.101	10.037	9.88731	9.65528
57	10.1826	10.1898	10.123	10.0508	9.89602	9.65799
58	9.49027	9.75746	9.95207	9.9975	9.88401	9.65711
